,zillow_id,furniture,texture
0,72202403,chair1,wood
1,72202403,chair2,wood
2,72202403,sofa1,leather
3,72197334,chair1,leather
4,72197334,chair3,wood
5,72197334,chair5,wood
6,72197334,chair6,wood
7,72197334,chair7,leather
8,72197334,sofa2,wood
9,72197334,sofa4,wood
10,72197203,chair3,wood
11,72197203,chair4,leather
12,72197203,chair5,leather
13,72197203,chair6,leather
14,72197203,sofa1,wood
15,72197203,sofa2,wood
16,72197203,sofa3,wood
17,72196657,chair1,wood
18,72196657,chair2,wood
19,72196657,chair4,leather
20,72196657,chair5,leather
21,72196657,chair6,leather
22,72196657,chair7,wood
23,72196657,chair8,wood
24,72196657,chair9,wood
25,72196657,sofa10,leather
26,72196657,sofa2,leather
27,72196657,sofa3,leather
28,72194817,chair1,leather
29,72194817,chair10,leather
30,72194817,chair11,wood
31,72194817,chair13,leather
32,72194817,chair2,leather
33,72194817,chair4,wood
34,72194817,chair5,wood
35,72194817,chair6,wood
36,72194817,chair7,wood
37,72194817,chair8,wood
38,72194817,chair9,wood
39,72194817,sofa12,leather
40,72194817,sofa3,leather
41,72193700,bed2,wood
42,72193700,chair2,wood
43,72193700,chair3,wood
44,72193700,sofa1,leather
45,72192694,chair1,wood
46,72192694,chair2,wood
47,72192407,chair1,wood
48,72192407,chair10,leather
49,72192407,chair2,leather
50,72192407,chair3,stone
51,72192407,chair5,leather
52,72192407,chair7,wood
53,72192407,chair8,wood
54,72192407,chair9,wood
55,72192407,sofa4,leather
56,72192407,sofa6,leather
57,72191785,chair1,wood
58,72191785,chair2,wood
59,72191785,chair3,leather
60,72191785,chair4,leather
61,72191785,sofa1,wood
62,72191785,sofa3,wood
63,72191132,bed1,leather
64,72191132,chair1,stone
65,72191132,sofa2,wood
66,72190566,chair2,leather
67,72190566,chair3,leather
68,72190566,chair4,wood
69,72190566,chair5,wood
70,72190566,chair6,wood
71,72190566,chair7,leather
72,72190566,chair8,leather
73,72190566,sofa1,wood
74,72190566,sofa3,leather
75,72190192,chair1,wood
76,72190192,chair2,wood
77,72190192,chair4,wood
78,72190192,chair6,leather
79,72190192,sofa1,wood
80,72190192,sofa3,wood
81,72190192,sofa5,leather
82,72190077,bed1,stone
83,72190077,chair1,wood
84,72190077,chair2,wood
85,72190077,chair3,leather
86,72190077,chair5,wood
87,72190077,chair6,wood
88,72190077,sofa4,stone
89,72190021,chair1,wood
90,72190021,chair2,leather
91,72190021,chair3,wood
92,72190021,sofa2,wood
93,72189629,chair1,leather
94,72189136,chair1,wood
95,72189136,chair2,wood
96,72189136,chair3,wood
97,72188672,chair1,wood
98,72188672,chair2,leather
99,72188672,chair3,wood
100,72188672,chair4,wood
101,72188672,chair5,stone
102,72188672,chair6,wood
103,72188672,sofa1,stone
104,72188672,sofa2,wood
105,72188672,sofa3,stone
106,72188672,sofa4,leather
107,72188672,sofa5,stone
108,72188590,chair1,leather
109,72188590,chair2,leather
110,72188590,chair3,leather
111,72188590,chair4,wood
112,72188590,chair5,wood
113,72188590,chair6,leather
114,72188590,chair7,leather
115,72188590,chair8,wood
116,72188590,chair9,wood
117,72188590,sofa1,wood
118,72188590,sofa2,leather
119,72188590,sofa3,wood
120,72188590,sofa4,leather
121,72188590,sofa8,wood
122,72188570,bed2,wood
123,72188570,chair1,stone
124,72188570,chair2,leather
125,72188570,chair3,leather
126,72188570,sofa2,wood
127,72188454,chair1,leather
128,72188454,chair2,leather
129,72188454,chair3,wood
130,72188454,chair4,leather
131,72188454,chair5,stone
132,72188454,chair6,leather
133,72188454,chair7,leather
134,72188454,chair8,wood
135,72188454,sofa2,leather
136,72188454,sofa3,wood
137,72188199,chair1,stone
138,72188199,chair2,leather
139,72188199,chair3,leather
140,72188199,chair4,wood
141,72188199,sofa1,leather
142,72188134,bed1,wood
143,72188134,chair1,leather
144,72188134,chair2,wood
145,72188134,chair3,wood
146,72188134,chair4,stone
147,72188134,chair5,leather
148,72188134,chair6,leather
149,72188134,sofa1,stone
150,72188079,bed1,wood
151,72188079,chair1,leather
152,72188079,chair2,wood
153,72188079,chair3,stone
154,72188079,chair4,wood
155,72188079,chair5,wood
156,72188079,sofa1,wood
157,72188079,sofa3,wood
158,72187979,chair1,wood
159,72187979,chair2,leather
160,72187979,chair3,wood
161,72187979,chair4,wood
162,72187979,chair5,leather
163,72187979,chair6,leather
164,72187979,chair7,wood
165,72187979,sofa1,wood
166,72187927,chair1,wood
167,72187927,chair2,wood
168,72187927,sofa1,wood
169,72187835,bed1,wood
170,72187835,chair1,leather
171,72187835,chair2,wood
172,72187835,chair3,leather
173,72187835,chair5,wood
174,72187835,chair7,wood
175,72187835,sofa2,wood
176,72187835,sofa4,wood
177,72187835,sofa6,wood
178,72187435,chair1,wood
179,72187435,chair2,wood
180,72187435,chair3,wood
181,72187435,chair4,wood
182,72187435,chair5,wood
183,72187435,sofa1,wood
184,72187435,sofa2,wood
185,72187435,sofa3,stone
186,72187393,chair2,leather
187,72187393,sofa1,leather
188,72187335,chair1,leather
189,72187335,chair2,leather
190,72187335,chair3,leather
191,72187335,chair4,stone
192,72187335,sofa1,wood
193,72187282,bed1,wood
194,72187282,chair1,wood
195,72187282,chair3,wood
196,72187282,chair4,wood
197,72187282,sofa2,leather
198,72187282,sofa3,wood
199,72187112,chair1,leather
200,72187112,chair2,leather
201,72187112,chair3,leather
202,72187112,chair4,wood
203,72187112,chair5,leather
204,72187112,chair6,leather
205,72187112,chair7,wood
206,72187112,chair8,stone
207,72186964,chair3,leather
208,72186964,chair4,leather
209,72186964,chair5,leather
210,72186964,chair6,leather
211,72186964,chair7,leather
212,72186964,chair8,wood
213,72186964,sofa1,leather
214,72186964,sofa2,wood
215,72186767,bed1,wood
216,72186767,chair1,wood
217,72186767,chair2,stone
218,72186483,sofa1,leather
219,72184849,bed1,leather
220,72184849,chair2,leather
221,72184849,sofa1,wood
222,72184332,chair1,leather
223,72184332,chair10,wood
224,72184332,chair2,leather
225,72184332,chair3,leather
226,72184332,chair4,wood
227,72184332,chair5,leather
228,72184332,chair6,wood
229,72184332,chair7,wood
230,72184332,chair8,wood
231,72184332,chair9,wood
232,72184332,sofa2,leather
233,72184332,sofa4,wood
234,72184200,chair1,wood
235,72184200,chair2,wood
236,72184200,chair3,leather
237,72184200,chair4,wood
238,72184200,chair5,wood
239,72184200,chair6,wood
240,72184200,chair7,wood
241,72184200,sofa1,leather
242,72184200,sofa3,wood
243,72184168,chair1,wood
244,72184168,chair4,wood
245,72184168,sofa2,wood
246,72184168,sofa3,wood
247,72184168,sofa5,wood
248,72184117,bed1,wood
249,72184117,chair1,leather
250,72184117,chair2,wood
251,72184117,chair3,leather
252,72184117,chair4,leather
253,72184117,chair5,wood
254,72184117,chair6,stone
255,72184117,chair7,leather
256,72184117,chair8,leather
257,72184117,sofa9,wood
258,72184076,sofa1,wood
259,72184070,bed1,leather
260,72184070,chair1,wood
261,72184070,chair2,wood
262,72184016,bed5,wood
263,72184016,chair1,leather
264,72184016,chair2,leather
265,72184016,chair3,wood
266,72184016,chair4,wood
267,72184016,chair6,wood
268,72184016,chair7,leather
269,72183960,chair1,leather
270,72183960,chair2,leather
271,72183960,chair3,wood
272,72183960,chair4,leather
273,72183960,chair5,wood
274,72183960,chair6,leather
275,72183960,sofa1,wood
276,72183960,sofa2,leather
277,72183960,sofa3,leather
278,72183917,chair2,wood
279,72183917,chair3,wood
280,72183917,chair4,wood
281,72183917,sofa1,wood
282,72183832,bed1,wood
283,72183832,chair1,wood
284,72183832,chair2,leather
285,72183832,chair3,leather
286,72183832,chair4,wood
287,72183832,sofa1,wood
288,72183832,sofa2,wood
289,72183832,sofa3,stone
290,72183832,sofa5,leather
291,72183807,chair1,leather
292,72183807,chair3,wood
293,72183807,chair4,leather
294,72183807,chair5,leather
295,72183807,chair6,leather
296,72183807,sofa2,leather
297,72183495,chair1,leather
298,72183495,sofa1,leather
299,72183495,sofa2,stone
300,72183329,chair2,stone
301,72183329,sofa1,wood
302,72183285,chair2,wood
303,72183285,chair4,leather
304,72183285,chair5,wood
305,72183285,chair6,stone
306,72183285,chair7,leather
307,72183285,sofa1,wood
308,72183285,sofa3,leather
309,72183253,chair2,leather
310,72183253,chair3,wood
311,72183253,chair4,leather
312,72183253,chair5,leather
313,72183253,chair6,leather
314,72183253,chair7,leather
315,72183253,chair8,leather
316,72183253,sofa1,leather
317,72183253,sofa2,leather
318,72183253,sofa3,leather
319,72183253,sofa4,leather
320,72183210,chair1,stone
321,72183210,chair2,stone
322,72183210,chair3,stone
323,72183210,chair4,leather
324,72183210,chair5,wood
325,72183210,chair6,wood
326,72183210,chair7,wood
327,72183118,bed1,leather
328,72183118,chair1,wood
329,72183118,chair2,wood
330,72182943,bed1,wood
331,72182943,bed2,wood
332,72182943,bed3,leather
333,72182943,bed6,leather
334,72182943,chair1,leather
335,72182943,chair10,leather
336,72182943,chair11,leather
337,72182943,chair2,leather
338,72182943,chair4,wood
339,72182943,chair5,wood
340,72182943,chair6,wood
341,72182943,chair7,leather
342,72182943,chair8,wood
343,72182943,sofa2,wood
344,72182943,sofa3,wood
345,72182943,sofa9,leather
346,72182942,chair2,wood
347,72182942,chair3,leather
348,72182942,sofa1,wood
349,72182942,sofa4,leather
350,72182942,sofa5,wood
351,72182914,chair1,leather
352,72182914,chair2,leather
353,72182914,chair3,wood
354,72182914,chair4,leather
355,72182914,chair5,leather
356,72182914,chair6,leather
357,72182914,sofa1,wood
358,72182846,bed1,leather
359,72182846,chair1,leather
360,72182846,chair2,leather
361,72182846,chair3,leather
362,72182846,sofa1,leather
363,72182846,sofa2,wood
364,72182815,chair1,leather
365,72182815,chair2,wood
366,72182815,chair3,wood
367,72182815,chair4,wood
368,72182815,chair5,leather
369,72182815,chair6,wood
370,72182815,chair7,wood
371,72182815,chair8,wood
372,72182815,sofa1,wood
373,72182815,sofa5,wood
374,72182743,chair2,wood
375,72182743,sofa1,wood
376,72182743,sofa3,wood
377,72182723,chair1,leather
378,72182723,chair2,leather
379,72182723,chair3,leather
380,72182723,chair4,wood
381,72182723,chair5,leather
382,72182723,chair6,leather
383,72182723,chair7,wood
384,72182723,chair8,wood
385,72182723,sofa3,leather
386,72182723,sofa4,leather
387,72182674,chair1,wood
388,72182671,bed1,wood
389,72182671,chair1,wood
390,72182671,chair2,wood
391,72182671,chair3,leather
392,72182671,sofa1,wood
393,72182671,sofa2,wood
394,72182549,chair1,leather
395,72182549,chair10,leather
396,72182549,chair11,wood
397,72182549,chair2,wood
398,72182549,chair3,wood
399,72182549,chair4,wood
400,72182549,chair5,wood
401,72182549,chair6,leather
402,72182549,chair7,wood
403,72182549,chair8,leather
404,72182549,chair9,wood
405,72182549,sofa1,wood
406,72182549,sofa2,wood
407,72182549,sofa6,wood
408,72182423,chair1,wood
409,72182423,chair10,wood
410,72182423,chair2,leather
411,72182423,chair4,wood
412,72182423,chair5,leather
413,72182423,chair6,leather
414,72182423,chair7,leather
415,72182423,chair8,wood
416,72182423,chair9,wood
417,72182423,sofa3,leather
418,72182371,chair3,wood
419,72182371,sofa1,wood
420,72182371,sofa2,wood
421,72182371,sofa4,wood
422,72182306,chair1,wood
423,72182306,chair2,wood
424,72182306,chair3,wood
425,72182306,chair4,wood
426,72182306,chair5,wood
427,72182306,sofa1,leather
428,72182306,sofa2,leather
429,72182306,sofa3,wood
430,72182297,chair2,wood
431,72182297,sofa1,leather
432,72182297,sofa3,wood
433,72182284,chair1,wood
434,72182284,chair2,wood
435,72182221,chair1,wood
436,72182219,chair1,wood
437,72182219,chair2,wood
438,72182219,chair3,wood
439,72182219,chair4,wood
440,72182219,chair5,wood
441,72182219,chair6,wood
442,72182219,sofa3,wood
443,72182219,sofa4,leather
444,72182219,sofa5,leather
445,72182144,chair1,wood
446,72182144,chair2,leather
447,72182020,chair1,leather
448,72182020,chair2,leather
449,72182020,chair3,leather
450,72182020,sofa1,leather
451,72182020,sofa2,wood
452,72182020,sofa3,leather
453,72181981,bed1,wood
454,72181981,bed2,wood
455,72181981,bed3,leather
456,72181981,chair1,leather
457,72181981,chair2,leather
458,72181981,chair3,leather
459,72181981,chair5,leather
460,72181981,chair6,wood
461,72181981,chair7,wood
462,72181981,chair8,wood
463,72181981,sofa4,wood
464,72181962,chair1,leather
465,72181962,chair2,wood
466,72181962,chair3,leather
467,72181962,chair4,wood
468,72181962,chair5,wood
469,72181962,chair6,leather
470,72181962,chair7,leather
471,72181962,chair8,leather
472,72181817,chair1,wood
473,72181817,chair2,leather
474,72181817,chair3,wood
475,72181817,chair4,leather
476,72181623,chair1,leather
477,72181623,chair10,leather
478,72181623,chair2,leather
479,72181623,chair3,leather
480,72181623,chair4,leather
481,72181623,chair5,leather
482,72181623,chair6,stone
483,72181623,chair7,leather
484,72181623,chair8,leather
485,72181623,chair9,wood
486,72181609,bed1,wood
487,72181609,chair1,leather
488,72181609,chair2,wood
489,72181585,chair2,wood
490,72181585,sofa1,stone
491,72181585,sofa2,leather
492,72181585,sofa3,leather
493,72181585,sofa4,leather
494,72181578,bed1,stone
495,72181578,chair1,wood
496,72181578,chair2,leather
497,72181578,chair3,wood
498,72181578,chair4,leather
499,72181578,chair5,leather
500,72181578,chair6,wood
501,72181578,chair7,wood
502,72181578,chair8,leather
503,72181578,sofa2,wood
504,72181578,sofa3,wood
505,72181563,bed3,leather
506,72181563,chair1,wood
507,72181563,chair2,wood
508,72181563,chair3,leather
509,72181563,chair4,wood
510,72181563,sofa1,leather
511,72181563,sofa2,leather
512,72181544,chair1,leather
513,72181544,chair2,leather
514,72181544,chair3,leather
515,72181523,sofa1,wood
516,72181523,sofa2,wood
517,72181499,bed1,wood
518,72181499,bed2,leather
